id,title,description,modified_date,start_year,end_year,rating,type,character_id,comics_id
2121,Fantastic Four (1961 - 1998),"Witness the comic masterpiece that gave birth to the Marvel Age! Mister Fantastic, The Thing, The Human Torch and The Invisible Girl unite to uncover the universe's greatest mysteries and face down would be world-conquerors like Doctor Doom, the Skrulls, Galactus and countless others!",2018-12-13T09:37:19-0500,1961,1998,,,1009148,12894
421,Fantastic Four (1998 - 2012),"Space-faring visionaries exploring uncharted territory, the Fantastic Four were changed by cosmic rays into one of the world's greatest superteams. Now the world's greatest super-family, the FF continue to explore and lead humanity through their heroic deeds and bombastic imaginations. As one of the flagship Marvel titles, Fantastic Four is a comic every reader can enjoy.",2019-02-19T14:44:51-0500,1998,2012,T,ongoing,1009148,76808
13691,Fear Itself (2010 - 2011),,2016-06-14T17:06:10-0400,2010,2011,,,1009148,39849
13857,Fear Itself: Fellowship of Fear (2011),,2018-02-20T13:38:17-0500,2011,2011,,,1009148,38452
13827,Fear Itself: The Worthy (2011),,2018-04-30T13:58:07-0400,2011,2011,,,1009148,38377
31372,Gamma Flight (2021),"SPINNING OUT OF IMMORTAL HULK, BRUCE BANNER'S GAMMA-POWERED ALLIES GO ON THE RUN! Gamma Flight had one job: Find and stop the Hulk. But when push came to smash, they sided with the Green Goliath—and the human world intends to make them regret it. Puck, Absorbing Man, Titania, Doc Sasquatch, Dr. Charlene McGowan and a horribly changed Rick Jones are fugitives from every known authority—but a team that full of gamma is bound to break before long. Al Ewing, Crystal Frasier and Lan Medina mastermind a whole new world of gamma!",2021-07-07T12:18:19-0400,2021,2021,,,1009148,91710
20084,Heroes for Hire (1997 - 1999),,2019-05-03T11:26:15-0400,1997,1999,,,1009148,62004
465,Hulk (1999 - 2008),The Hulk goes from fugitive to interstellar gladiator in this eclectic series featuring Greg Pak's classic Planet Hulk epic!,2019-06-25T09:13:37-0400,1999,2008,,,1009146,14269
20552,Illuminati (2015 - 2016),,2019-10-01T19:25:19-0400,2015,2016,,,1009148,55849
24278,Immortal Hulk (2018 - Present),,2020-07-13T11:26:52-0400,2018,2099,,,1009148,68616
24891,Immortal Hulk Vol. 2: The Green Door (2019),,2019-02-07T16:20:02-0500,2019,2019,,collection,1009148,68619
2258,Uncanny X-Men (1963 - 2011),"The flagship X-Men comic for over 40 years, Uncanny X-Men delivers action, suspense, and a hint of science fiction month in and month out. Follow the adventures of Professor Charles Xavier's team of mutants as they attempt to protect a world that hates and fears them.",2022-10-25T13:52:36-0400,1963,2011,,,1009144,61787
2104,X-Men: Alpha (1995),,2017-08-21T13:46:47-0400,1995,1995,,one shot,1009149,12386
1583,X-Men: The Complete Age of Apocalypse Epic Book 2 (2005),,-0001-11-30T00:00:00-0500,2005,2005,T+,collection,1009149,2539
3635,Weapon X (1995),"Weapon X and Jean Grey versus Havok! Plus, witness the brutal death of a powerful warrior!",2020-06-17T12:07:50-0400,1995,1995,,,1010903,18099
2104,X-Men: Alpha (1995),,2017-08-21T13:46:47-0400,1995,1995,,one shot,1009149,12386
1583,X-Men: The Complete Age of Apocalypse Epic Book 2 (2005),,-0001-11-30T00:00:00-0500,2005,2005,T+,collection,1009149,2539
23058,All-New Guardians of the Galaxy (2017),,2019-09-30T18:12:22-0400,2017,2017,,,1010354,61513
22778,All-New Guardians of the Galaxy Vol. 3: Infinity Quest (2018),,2018-03-09T14:33:16-0500,2018,2018,,collection,1010354,62151
3061,Annihilation: Conquest (2007),,2013-03-08T18:33:19-0500,2007,2007,T,limited,1010354,17271
2111,Avengers Forever (1998 - 1999),,2021-07-20T17:31:49-0400,1998,1999,,,1010354,6946
93,Avengers Legends Vol. I: Avengers Forever (2002),,-0001-11-30T00:00:00-0500,2002,2002,MARVEL PSR,collection,1010354,1033
3874,CLANDESTINE CLASSIC PREMIERE HC (2008),,-0001-11-30T00:00:00-0500,2008,2008,RATED T+,,1010354,20731
3741,"Doctor Strange, Sorcerer Supreme (1988 - 1996)",,2018-02-19T20:51:43-0500,1988,1996,,,1010354,20168
378,Earth X (1999 - 2000),,2020-03-24T12:12:17-0400,1999,2000,,,1009146,8546
1806,EARTH X TPB [NEW PRINTING] (2006),,-0001-11-30T00:00:00-0500,2006,2006,RATED T+,collection,1009146,4241
2121,Fantastic Four (1961 - 1998),"Witness the comic masterpiece that gave birth to the Marvel Age! Mister Fantastic, The Thing, The Human Torch and The Invisible Girl unite to uncover the universe's greatest mysteries and face down would be world-conquerors like Doctor Doom, the Skrulls, Galactus and countless others!",2018-12-13T09:37:19-0500,1961,1998,,,1009148,12894
4885,Guardians of the Galaxy (2008 - 2010),,2013-04-29T15:18:47-0400,2008,2010,Rated T,,1010354,21268
27554,Guardians Of The Galaxy Annual (2019),,2019-06-05T16:38:01-0400,2019,2019,,one shot,1010354,76749
26496,Guardians Of The Galaxy Vol. 2: Faithless (2020),,2019-11-11T12:42:06-0500,2020,2020,,collection,1010354,73526
22422,GUARDIANS OF THE GALAXY: ROAD TO ANNIHILATION VOL. 2 TPB (2017),,2018-02-20T15:43:02-0500,2017,2017,,collection,1010354,60678
2021,Incredible Hulk (1962 - 1999),"Trapped in a the radioactive blast of a Gamma Bomb, withdrawn Doctor Bruce Banner becomes the rampaging Incredible Hulk! Witness the evolution of Marvel's most unstoppable force, from sinister brute to uncontrollable beast and every stage in between.",2016-09-22T16:36:43-0400,1962,1999,,,1009146,8906
2983,Incredible Hulk Annual (1976 - 1994),"Is he a man, monster or both? It's the Incredible Hulk, born of a gamma blast that scientist Bruce Banner was caught in.",2021-05-13T14:25:25-0400,1976,1994,,,1009146,16878
26307,Infinity By Starlin & Hickman (2019),,2019-03-28T16:15:45-0400,2019,2019,,collection,1010354,72781
24050,Infinity Countdown (2018),,2018-04-12T09:05:47-0400,2018,2018,,,1010354,66416
24300,Infinity Countdown Prime (2018),,2018-02-20T13:13:40-0500,2018,2018,,one shot,1010354,66283
23991,Infinity Countdown: Adam Warlock (2018),,2018-01-31T18:00:44-0500,2018,2018,,one shot,1010354,66158
27392,Aero (2019 - 2020),,2021-07-21T18:00:17-0400,2019,2020,,ongoing,1017851,76349
27624,Agents of Atlas (2019),,2019-07-31T11:14:26-0400,2019,2019,,limited,1017851,77001
29600,Atlantis Attacks (2020),"WAR WITH THE WATER KINGDOM! The armies of ATLANTIS face ATLAS in a showdown destined to shake allegiances and break hearts! AMADEUS CHO, SILK, WAVE, SHANG-CHI, and all the heroes of the Atlas have bonded with each other after the challenges of WAR OF THE REALMS. But when a terrible secret incurs the wrath of KING NAMOR, who’s the true friend -- and who’s the true enemy? A titanic tale of love and betrayal, heroes and monsters, gods and underdogs -- plus the shocking return of JIMMY WOO and the original AGENTS OF ATLAS! ",2020-11-30T10:52:53-0500,2020,2020,,limited,1017851,83989
31376,King In Black: Black Knight (2021),,2020-07-15T09:04:21-0400,2021,2021,,one shot,1017851,91744
